Station,Dates,Temp,DO,pH,Conductivity,Turbidity
Station_A,01/01/2022 0:00,7.43,9.22,7.34,262.7,4.2
Station_A,01/01/2022 1:00,7.21,9.08,7.27,260.4,4.2
Station_A,01/01/2022 2:00,6.87,9,7.23,262,3.6
Station_A,01/01/2022 3:00,6.68,9.28,7.35,261.5,3.4
Station_A,01/01/2022 4:00,6.85,9.46,7.39,254.5,4.1
Station_A,01/01/2022 5:00,7.03,9.74,7.42,254.6,3.8
Station_A,01/01/2022 6:00,7.37,9.97,7.52,253.6,4.4
Station_A,01/01/2022 7:00,8,10.12,7.53,253.5,3.3
Station_A,01/01/2022 8:00,8.49,10.67,7.81,262.4,2.5
Station_A,01/01/2022 9:00,9.22,11.32,7.96,258.1,3
Station_A,01/01/2022 10:00,9.8,11.88,8.05,262.4,2.9
Station_A,01/01/2022 11:00,10.36,12.51,8.12,260.8,2.9
Station_A,01/01/2022 12:00,11.22,12.75,8.25,260.7,3.2
Station_A,01/01/2022 13:00,11.6,12.98,8.26,264.5,3.3
Station_A,01/01/2022 14:00,11.79,13.22,8.32,260.3,3.5
Station_A,01/01/2022 15:00,11.81,13.24,8.3,262.9,3.3
Station_A,01/01/2022 16:00,11.61,13.13,8.26,266,2.9
Station_A,01/01/2022 17:00,11.53,12.12,8.18,266.1,3.7
Station_A,01/01/2022 18:00,11.09,11.72,8.08,257,5.4
Station_A,01/01/2022 19:00,10.47,11,7.88,259.6,3.1
Station_A,01/01/2022 20:00,10,10.69,7.91,259.4,2.9
Station_A,01/01/2022 21:00,9.39,10.19,7.74,261,2.4
Station_A,01/01/2022 22:00,8.94,9.39,7.55,265,3.3
Station_A,01/01/2022 23:00,8.46,8.95,7.47,257.5,2.9
Station_A,02/01/2022 0:00,7.8,9.05,7.44,254.3,2.9
Station_A,02/01/2022 1:00,7.44,8.96,7.35,248.1,3.3
Station_A,02/01/2022 2:00,7.32,8.9,7.39,256.1,3.5
Station_A,02/01/2022 3:00,7.19,8.95,7.38,259.9,3.7
Station_A,02/01/2022 4:00,7.18,9.26,7.46,260,4.4
Station_A,02/01/2022 5:00,7.36,9.73,7.54,260.6,4.6
Station_A,02/01/2022 6:00,7.85,9.98,7.65,262.2,4.5
Station_A,02/01/2022 7:00,8.4,10.55,7.73,256.7,3.9
Station_A,02/01/2022 8:00,9.09,11.05,7.8,258.4,3.3
Station_A,02/01/2022 9:00,9.63,11.57,7.9,258.5,3.8
Station_A,02/01/2022 10:00,10.19,12.22,8.02,258.9,3.5
Station_A,02/01/2022 11:00,10.76,12.56,8.14,261.6,3.5
Station_A,02/01/2022 12:00,11.12,12.87,8.22,260,4.2
Station_A,02/01/2022 13:00,11.57,12.9,8.3,261.1,3.7
Station_A,02/01/2022 14:00,11.78,13.22,8.27,261.7,3.7
Station_A,02/01/2022 15:00,11.98,12.86,8.21,270.2,3.1
Station_A,02/01/2022 16:00,11.88,12.52,8.2,262.3,3.4
Station_A,02/01/2022 17:00,11.67,11.8,8.08,255.7,3.2
Station_A,02/01/2022 18:00,11.42,11.16,8.02,244.1,4
Station_A,02/01/2022 19:00,10.76,10.86,7.91,256.5,4
Station_A,02/01/2022 20:00,10.32,10.03,7.8,257.2,4
Station_A,02/01/2022 21:00,9.47,9.98,7.75,255.8,3.7
Station_A,02/01/2022 22:00,8.95,9.76,7.58,259.7,3.8
Station_A,02/01/2022 23:00,8.46,9.48,7.5,257.5,4
Station_A,03/01/2022 0:00,7.93,9.11,7.43,259.3,2.8
Station_A,03/01/2022 1:00,7.42,8.87,7.32,260.6,2.3
Station_A,03/01/2022 2:00,7.19,8.97,7.32,259.7,2.6
Station_A,03/01/2022 3:00,7.25,8.88,7.36,260.9,2.8
Station_A,03/01/2022 4:00,7.42,9.06,7.35,261.3,3.8
